12036,12.03555458,702717.78639400005340576,713290.71533000003546476,7754715.97233999986201525,7760466.42865999974310398
16656,16.65628084,729979.20891799998935312,746530.78687900002114475,7823695.36894000042229891,7825560.02938000019639730
24406,24.40576303,726780.16443799994885921,750981.63137199997436255,7832049.39541999995708466,7828898.16275000013411045
7008,7.00798090,727569.05923799995798618,733873.69784999999683350,7842807.05178999993950129,7839747.09619999956339598
6122,6.12171103,718504.37545699998736382,723859.29773899994324893,7851152.38520999997854233,7854118.89046000037342310
6675,6.67540431,718504.37545699998736382,725156.73629499995149672,7861166.78531999979168177,7861720.96762000024318695
9774,9.77418432,720242.98658799997065216,729979.20891799998935312,7866565.17288000043481588,7867425.78538999985903502
9400,9.39972821,720892.79249799996614456,727197.43110899999737740,8034488.92891000024974346,8027517.09827999956905842
13953,13.95278372,703454.52286000002641231,715329.23688099998980761,8046155.00958999991416931,8038828.93694000039249659
16923,16.92320609,687278.91955700004473329,704202.12564700003713369,8069104.67650999967008829,8069104.67650999967008829
14862,14.86226791,650142.18581199995242059,662799.27484099997673184,8100398.59023000020533800,8108188.65471999999135733
10843,10.84250775,642770.47461999999359250,651904.70284599997103214,8102346.92133000027388334,8108188.65471999999135733
11871,11.87068580,662812.31442499998956919,672674.58606200001668185,8254371.07856000028550625,8260977.80085999984294176
10648,10.64822164,659322.05258100002538413,668525.82525200000964105,8255622.87858000025153160,8260977.80085999984294176
24521,24.52149367,633173.34117999998852611,654175.76363499998115003,8246025.74514000024646521,8258682.83416999969631433
53673,53.67335576,623854.38552200002595782,650003.09692200005520135,8193867.41122999973595142,8240740.36730000004172325
8592,8.59207804,631226.09671399998478591,636142.01968499994836748,8232812.30054999981075525,8239859.10878000035881996
12769,12.76859132,616297.94689599995035678,623854.38552200002595782,8237958.58949000015854836,8248251.16738000046461821
19521,19.52145234,626942.59354200004599988,614148.58888599998317659,8220612.68357000034302473,8235357.19259000010788441
14288,14.28829511,573921.47385800001211464,586161.29621599998790771,8198735.52238999959081411,8206107.23359000030905008
45990,45.99018588,550554.54026599996723235,591863.94072299997787923,8197019.73053000029176474,8217234.34482000023126602
